Institution_Name,Contact_Id,Parent_Institution_Id,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2,Adddress_1,Address_2,Address_3,City,State,Country,Postal_Code
MIT College of Engineering,200008,500001,2030273400,2030273677,mitcoe@mitpune.com,,Survey No. 124  Paud Rd  Rambaug Colony  Kothrud,/n,/n,Pune,Maharashtra,India,411038
Lovely Professional University,200009,500002,1824404404,18001024431,info@lpu.co.in,admissions@lpu.co.in,Lovely Professional University  Jalandhar,,, Jalandhar,Punjab,India,144411
Banasthali Vidyapith  Banasthali,200010,500003,1438228383,1438228787,saditya@banasthali.ac.in,adityashastri@yahoo.com,Niwai Jodhpuriya Road  Vanasthali,,,Vanasthali,Rajasthan,India,304022
Jindal School of Art and Architecture,200011,500004,1304091800,1304091801, info@jsaa.edu.in,,Sonipat Narela Road  Near Jagdishpur,,,Delhi,Haryana,India,131001
Vellore Institute of Technology,200012,500005,4439931555,4439931003,admin.chennai@vit.ac.in ,admissions.chennai@vit.ac.in,Vandalur Kelambakkam Road,,,Chennai,Tamil Nadu,India,600127
Indian Institute of Technology Madras,200013,500006,4422578100,4422578101,registrar@iitm.ac.in,,Sardar Patel Road  Opposite to C  L.R.I  Adyar,,,Chennai,Tamil Nadu,India,600036
Visvesvaraya National Institute of Technology Nagpur,200014,500007,7122222828,7122231636, info@vnitaa.com,,South Ambazari Road,,,Nagpur,Maharashtra,India, 440010
Institute of Chemical Technology,200015,500008,2233611111,2233612222,ar.admin@staff.ictmumbai.edu.in,ar.fin@staff.ictmumbai.edu.in,Nathalal Parekh Marg  Matunga,,,Mumbai,Maharashtra,India,400019
Sinhgad College of Engineering,200016,500009,2024354705,2024100234,registrar.scoe@sinhgad.edu,principal.scoe@sinhgad,S. No. 44/1  Off. Sinhgad Road  Vadgaon Budruk,,,Pune,Maharashtra,India,411041
Savitribai Phule Pune University,200017,500010,2025601296,2025691162,intcent@unipune.ac.in,puvc@unipune.ac.in,External Section  Savitribai Phule,,,Pune,Maharashtra,India,411007
Amrutvahini College of Pharmacy  Sangamner,200018,500011,,,,,At/Po. Amrutnagar  (Ghulewadi)  Tal.Sangamner  Dist.Ahmednagar,,,Ahmednagar,Maharashtra,India,/n
Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering  Sangamner,200019,500012,,,,,Amrutvahini College of Engineering  P.O.: Sangamner Sakhar Karkhana  Tal : Sangamner ,,,Ahmednagar,Maharashtra,India,
Athare Patil Memorial Foundation's  Surya School of Architecture  Ahmednagar,200020,500013,,,,,Athare Patil Memorial Hospital  Savedi Road  Opp . Zopadi Canteen  Ahmednagar.,,,Ahmednagar,Maharashtra,India,
Hon. Shri. Babanrao Pachpute Vichardhara Trust  Group of Instituions  Kashti (Integrated Campus),200021,500014,,,,,At/ Post Kashti  Tal. Shrigonda.,,,Ahmednagar,Maharashtra,India,
Mula Education Society's College of Pharmacy.Sonai,200022,500015,,,,,A/P  Sonai Tal Newasa Dist-Ahmednagar,,,Ahmednagar,Maharashtra,India,
Padmashree Dr. Vithalrao Vikhe Patil Foundation's College of Pharmacy  Ahmednagar,200023,500016,,,,,Vilad Ghat  P.O.MIDC  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Padmashri Dr. Vithalrao Vikhe Patil College of Engineering  Ahmednagar,200024,500017,,,,,Padmashri Dr. Vithalrao Vikhe Patil College of Engg  Vilad Ghat  P.O.-MIDC  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Pravara Rural College of Architecture  Loni,200025,500018,,,,,Pravara Rural College of Architecture  At Post Loni  Tal. Shrirampur ,,,Ahmednagar,Maharashtra,India,
Pravara Rural Engineering College  Loni,200026,500019,,,,,Pravara Rural Engineering College  A/P.Loni  Tal.Rahata,,,Ahmednagar,Maharashtra,India,
Pravara Rural Education Society's Pravara Rural College of Pharmacy Pravararanagar,200027,500020,,,,,A/P-Loni BK  Tal. - Rahata ,,,Ahmednagar,Maharashtra,India,
S.G.R. Education Foundation  College of Engineering and Management  Ahmednagar,200028,500021,,,,,G.No.1030  At/Post-Chas Nagar-Pune Road  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Sanjivani Rural Education Society's College of Engineering  Kopargaon,200029,500022,,,,,Sanjivani Rural Education Society's College of Engineering  Po : Shingnapur  Tal : Kopargaon ,,,Ahmednagar,Maharashtra,India,
Sanjivani Rural Education Society's Sanjivani College of Pharmaceutical & Research  Kopargaon,200030,500023,,,,,At -Sahajanandnagar   Post-Shingnapur Tal Kopargaon,,,Ahmednagar,Maharashtra,India,
Shri. Vivekanand Nursing Home Trust  College of Pharmacy  Rahuri Factory  Ahmednagar,200031,500024,,,,,Rahuri Factory  Tal Rahuri  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Vishwabharati Academy's College of Engineering  Ahmednagar,200032,500025,,,,,Sarola Baddi  Jamkhed Road   Ahmednagar,,,Ahmednagar,Maharashtra,India,
Amrutvahini Institute of Management & Business Administration  Sangamner.,200033,500026,,,,,Nashik-Pune Highway Amrutnagar (S.K.) Ghulewadi   Tal :Sangamner   Dist: Ahmednagar -422608,,,Ahmednagar,Maharashtra,India,
Abhinav Education Society's Institute of Management & Business Administration  Akole,200034,500027,,,,,Akole  (Dhamangaon Awari Road  Tal. Akole  Dist Ahmednagar,,,Ahmednagar,Maharashtra,India,
Shri Dattakrupa Shaikshnik & Krushi Gram Vikas Pratisthan's Sai Krupa Institute of Management Science (M.B.A.)  Ghargaon,200035,500028,,,,,Ghargaon Tal. Shrigonda Dist Ahmednagar,,,Ahmednagar,Maharashtra,India,
B. P. Hivale Education Society's Institute of Management Studies Career Development Research  Ahmednagar,200036,500029,,,,,Opp.Ahmednagar college  Station Road  Ahmednagar,,,Ahmednagar,Maharashtra,India,
SGR Education Foundation's Institute of Management and Research  Ahmednagar,200037,500030,,,,,G.No.1030  At./post-Chas  Nagar Pune Road   Ahmednagar,,,Ahmednagar,Maharashtra,India,
PIRENS Institute of Business Management and Administration (IBMA)  Loni  Ahmednagar,200038,500031,,,,,At./Post - Loni Bk. Tal: Rahata  Dist. Ahmednagar (MS),,,Ahmednagar,Maharashtra,India,
Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Devp.  Ahmednagar,200039,500032,,,,,Vadtgaongupta(Vilad Ghat)   Post MIDC  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Shri Chhatrapati Shivaji College of Engineering  (Rahuri Factory)  Tal.Rahuri  Dist.Ahmednagar-413706,200040,500033,,,,,A/P-Shrishivajinagar (Rahuri Factory)  Tal-Rahuri  Dist-Ahmednagar,,,Ahmednagar,Maharashtra,India,
Government Polytechnic  Ahmednagar,200041,500034,,,,,Post Box No. 71 Burudgaon Road,,,Ahmednagar,Maharashtra,India,
SRES's Sanjivani Institute of Pharmacy And Research  Kopargaon,200042,500035,,,,,"At post Shingnapur
Tal: Kopargaon ",,,Ahmednagar,Maharashtra,India,
Sanjivani Rural Education Society's K.B.P. Polytechnic  Kopargaon Dist Ahmednagar,200043,500036,,,,,At Sahajanad nagar  Post Shinganapur Tal: Kopargaon ,,,Ahmednagar,Maharashtra,India,
Shri Chhatrapati Shivaji Shikshan Sanstha's Indira Gandhi Poly. Belwandi (su)  Tal-Shrigonda  Dist- Ahmednagar,200044,500037,,,,,A.P. Belwandi (sugur)  Tal-Shrigonda   Tal-Shrigonda,,,Ahmednagar,Maharashtra,India,
Pravara  Rural Education Society's Padmashri Dr. Vittalrao Vikhe Patil Polytechnic  Ahmednagar,200045,500038,,,,,A/P Loni Bk.,,,Ahmednagar,Maharashtra,India,
Amrutvahini Sheti & Shikshan Sanstha's Amrutvahini Polytechnic  Amrutnagar,200046,500039,,,,,At- Amrutnagar P.O. Sangamner,,,Ahmednagar,Maharashtra,India,
Yashwantrao Chavan College of Pharmacy  Ahmednagar.,200047,500040,,,,,P.Box No.2  Savedi  S.No. 251 (New)  Near Nagpur Bridge.,,,Ahmednagar,Maharashtra,India,
Shri.Tilok Jain Dnyan Prasarak Mandal's Anand Colleges of Pharmacy  Pathardi  Ahmednagar,200048,500041,,,,,Pathardi  Dist:Ahmednagar-414 102.,,,Ahmednagar,Maharashtra,India,
Pravara Rural College of Pharmacy  Pravaranagar,200049,500042,,,,,Loni-Pravaranagar  Dist.Ahmednagar,,,Ahmednagar,Maharashtra,India,
SRMSWET's Sahakar Maharshi Kisanrao Varal Patil College of Pharmacy  Nighoj  Tal.Parner  Dist. Ahmednagar,200050,500043,,,,,At post Nighoj  Taluka Parner  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Mula Education Soceity Mula Rural Institute of Pharmacy Sonai  Tal. Newasa Dist. Ahmednagar,200051,500044,,,,,Sonai  Tal-Navesa  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Sangamner Medical foundation & Research Institute  Sangamner  Dist. Ahmednagar,200052,500045,,,,,Dr. Ithape Hospital  New Nagar Road  Sangamner,,,Ahmednagar,Maharashtra,India,
Amrutwahini Institute of Pharmacy  Sangamner  Ahmednagar,200053,500046,,,,,Amrut Nagar  SangamnerS.K. Tal. Sangamner Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Kakasaheb Mhaske College of Pharmacy  Nagapur  Ahmednagar,200054,500047,,,,,Kamgaar Hospital  Bolhegaon Phata  Nagapur ,,,Ahmednagar,Maharashtra,India,
Navmaharahstra Shikshan Mandal's Abasaheb kakade Pharmacy College  Bodhegaon   Ahmednagar.,200055,500048,,,,,Bodhegaon  Taluka  Shevgaon  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Sangamner Medical Foundation & Research Institutes Wamanrao Ethape Polytechnic Sangamner,200056,500049,,,,,At-Velhale  Taluka- Sangamner  Dist-Ahmednagar.,,,Ahmednagar,Maharashtra,India,
TULAJABHAVANI SEVA PRATISTHAN  SONIYA GANDHI POLYTECHNIC  SHRIGONDA,200057,500050,,,,,At: Balajinagar  P:Shrigonda  Tal:Shrigonda,,,Ahmednagar,Maharashtra,India,
SHRI DATTAKRUPA SHAIKSHANIK & KRISHI  GRAM VIKAS PRATISTHAN  SHRI SIDDHIVINAYAK POLYTECHNIC  KARJAT,200058,500051,,,,,SR. NO.86/1 RASHIN ROAD  SIDDHATEK BERDI TAL KARJAT DIST AHMEDNAGAR,,,Ahmednagar,Maharashtra,India,
THE PEOPLE EDUCATION SOCIETY'S  DIPLOMA COLLEGE OF ENGGINEERING & TECHNOLOGY JAMKHED,200059,500052,,,,,BEHIND POLICE LINE JAMKHED DIST. AHMEDNAGAR,,,Ahmednagar,Maharashtra,India,
HON. SHRI. BABANRAO PACHPUTE VICHARDHARA TRUST'S PARIKRAMA POLYTECHNIC KASHTI,200060,500053,,,,,S.NO.1147 1148 1152 AT & POST KASHTI TAL SHRIGONDA DIST AHMEDNAGAR,,,Ahmednagar,Maharashtra,India,
SANJIVANI PRATISHTHAN'S INSTITUTE OF TECHNOLOGY KURUND,200061,500054,,,,,Shirur - Nighoj Road GUT NO.22 23 28 AT KURUND POST RALEGANTHERPAL TAL.PARNER DIST- AHMEDNAGAR.,,,Ahmednagar,Maharashtra,India,
